	Colwelliaceae	Trans-envelope signaling system VreARI in Pseudomonas	Heme and heme d1 biosynthesis from siroheme	Type III secretion system orphans	L-2-amino-4-methoxy-trans-3-butenoic acid synthesis	Type III secretion systems	Potential DNA repair cluster	Extracellular matrix proteins (PSL) involved in mannose-rich biofilm formation in Pseudomonas	Salmochelin-mediated Iron Acquisition	Onchocercidae	Extracellular matrix proteins (PEL) involved in glucose-rich biofilm formation in Pseudomonas	ABC-type iron transport system	Pseudomonadaceae	IbrA and IbrB: co-activators of prophage gene expression	Siderophore Pyoverdine	Edwardsiidae	Acyclic terpene utilization	Aestuariirhabdaceae	Adenylylsulfate reductase	Capitellidae	Marinobacteraceae	Geothermobacteraceae	Lipotidae	Type III secretion system	Cholera toxin	MexXY System of Pseudomonas aeruginosa	Beta-lactamases Ambler class D	Mycobacterial FadD proteins (fatty acid CoA- and AMP- ligases)	Mycobacterial gene cluster associated with resistance against FAS-II antibiotics	Stress proteins YciF, YciE	Phenazine biosynthesis	Type 4 conjugative transfer system, IncI1 type	Sulfur transfer pathway CsdAEL	Biogenesis of cbb3-type cytochrome c oxidases	Coenzyme PQQ synthesis	Quorum sensing regulation in Pseudomonas	tRNA modification, 5-oxyacetyl uridine (cmo5U34)	Malonate decarboxylase	Sulfate assimilation related cluster	Cytochrome c oxidase EC 1.9.3.1	Acytosteliaceae	Outer membrane porins in Pseudomonas and Acinetobacter	CMP-pseudaminic acid synthesis	Rhamnolipids in Pseudomonas	Pseudomonas Culture	N12M_Pseudomonas aeruginosa	N12M_mucoid	N12M_non_mucoid
788707_20181116_S	2.756841101192609	6.21946173332773	1.38210260740616	2.07315391110924	0.0	0.0	195.221993296121	0.0	2.07315391110924	1.83789406746174	0.0	10.3657695555462	3312.8040565997853	12.4389234666555	3.10973086666387	0.0	6.21946173332773	0.0	0.0	0.0	30.325252113118705	0.0	0.0	0.0	2.07315391110924	0.0	0.0	0.0	0.0	0.0	1.03657695555462	0.0	50.7922708221765	10.0202439036947	1.03657695555462	0.0	13.4755004222101	296.633772114548	0.0	9.50195542591737	0.9189470337308698	16.585231288874	3.10973086666387	2.07315391110924	1.0	1.0	0.0	1.0
788707_20181129_S	0.0	0.0	10.1215884734195	0.0	0.0	7.59119135506461	161.945415574712	15.1823827101292	0.0	0.0	0.0	0.0	2588.3257583039253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.59119135506461	0.0	3.7955956775323	0.0	0.0	0.0	0.0	0.0	0.0	15.1823827101292	0.0	3.7955956775323	0.0	15.1823827101292	576.93054298491	0.0	15.1823827101292	0.0	22.7735740651938	0.0	0.0	0.0	0.0	0.0	0.0
802187_20180321_S	2.7114246045175383	0.0	4.90649488415699	0.387354859275552	0.0	0.774709718551103	258.882164282494	0.0	1.16206457782665	2.2030324911705	0.0	8.13445204478658	1285.554190616878	22.8539366972575	1.67853772352739	4.575529020123346	3.48619373347996	0.0	0.0	0.1694640377823461	33.72334351868689	0.5083921133470385	0.0	0.774709718551103	0.0	0.387354859275552	1.54941943710221	0.774709718551103	1.16206457782665	0.0	0.193677429637776	0.0	61.9767774840883	95.9348868139116	0.581032288913327	0.0	8.52180690406214	201.166290250436	0.0	93.4170802286205	0.3389280755646923	2.71148401492886	6.19767774840883	0.0	0.0	0.0	0.0	0.0
802971_20180605_S	0.0	0.0	2.62270017061227	0.0	0.0	7.86810051183682	313.412670388167	0.0	0.0	2.789341924506461	0.0	0.0	1112.947427878078	0.0	0.0	0.0	15.7362010236736	1.3946709622532305	0.0	5.578683849012921	11.157367698025842	0.0	0.0	7.86810051183682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.7362010236736	62.9448040946945	0.0	0.0	0.0	182.277661857553	0.0	70.8129046065314	0.0	7.86810051183682	15.7362010236736	0.0	1.0	1.0		
810653_20180115_S	4.612991835975606	1.10911199102925	3.51218797159264	0.0	0.0	0.0	310.181653491181	0.0	0.0	5.826937055969188	0.0	28.282355771246	2506.068512154748	0.554555995514627	6.46981994767065	0.4855780879974323	0.0	0.0	0.0	0.0	106.82717935943508	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.554555995514627	0.0	0.554555995514627	3.88189196860239	244.559194021951	94.1820932382342	2.21822398205851	0.0	38.2643636905093	250.382031974854	0.0	93.0729812472049	0.0	2.21822398205851	6.1001159506609	0.0	0.0			
825012_20171123_S	2.196396090540467	2.10677494580297	1.63860273562453	0.0	0.0	0.0	581.001712831442	0.0	0.0	1.568854350386048	0.0	3.51129157633828	3124.216553358776	0.0	0.936344420356876	1.568854350386048	0.0	0.0	2.80903326107063	0.0	17.884939594400947	0.0	0.3137708700772096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.3038825023122	16.5030704087899	0.0	0.0	4.21354989160594	295.767793780228	2.80903326107063	14.396295462987	0.3137708700772096	0.0	5.61806652214125	0.0	0.0			
825012_20171129_S	0.0	0.0	8.44797563121086	0.0	0.0	0.0	1237.62842997239	0.0	0.0	0.0	0.0	0.0	3247.373447946514	76.0317806808978	0.0	11.23658632507444	0.0	0.0	0.0	0.0	16.85487948761166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.3439268936326	0.0	0.0	0.0	25.3439268936326	8.44797563121086	0.0	0.0	50.6878537872652	310.463104446999	0.0	8.44797563121086	0.0	25.3439268936326	25.3439268936326	0.0	0.0			
825012_20171206_S	1.921109632923977	0.0	0.47676344206261	0.0	0.0	0.0	127.295839030717	0.0	0.0	0.0	0.0	4.29087097856349	1739.2445876738404	0.0	0.0	0.3201849388206628	2.14543548928174	0.0	0.0	0.0	3.522034327027291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.86058065237566	0.47676344206261	0.0	0.0	0.0	240.646347381102	0.0	0.834336023609567	1.2807397552826514	2.14543548928174	0.0	0.0	0.0			
825012_20181113_S	0.0	0.0	0.0	0.0	0.0	0.0	293.326729291543	0.0	0.0	0.0	0.0	0.0	2012.0169781158704	79.9981988976935	0.0	0.0	15.9996397795387	0.0	15.9996397795387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	317.326188960851	15.9996397795387	0.0	0.0	31.9992795590774	0.0	0.0	0.0			
825012_20181120_S	0.0	46.6825283524114	0.0	11.6706320881028	0.0	0.0	194.510534801714	35.0118962643085	0.0	23.65646087517077	0.0	23.3412641762057	7025.968879925718	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.3412641762057	0.0	0.0	0.0	0.0	11.6706320881028	0.0	0.0	15.5608427841371	11.6706320881028	0.0	0.0	266.479432678348	23.3412641762057	15.5608427841371	0.0	23.3412641762057	0.0	23.3412641762057	0.0			
825012_20181126_S	0.0	0.0	0.0	0.0	0.0	0.0	400.351444725048	0.0	0.0	12.936777966079768	27.931496143608	0.0	4049.211503382968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	193.192848326622	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
848255_20190228_S	1.2195728763089675	0.0	0.543461660956914	0.0	0.0	0.0	260.499289485348	0.0	0.0	0.975658301047174	0.0	11.4126948800952	2673.5476594445186	1.63038498287074	0.0	0.0	3.26076996574149	0.0	0.0	0.2439145752617935	56.832096035997886	0.0	0.0	0.0	0.0	0.0	0.0	0.543461660956914	0.0	0.0	0.0	4.34769328765532	112.496563818081	25.1803902910037	0.543461660956914	0.0	16.8473114896643	221.732357670421	0.0	24.6369286300468	0.2439145752617935	0.0	0.0	0.0	0.0			
875028_20180115_S	2.8241002633799352	1.07163466973918	3.21490400921753	0.0	0.0	0.0	290.412995499317	0.0	0.0	2.8241002633799352	1.07163466973918	25.7192320737403	1761.369610421886	0.0	8.75168313620328	1.0861924089922828	0.0	0.0	0.0	0.0	82.76786156521196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.60745200460877	205.753856589922	70.9064939810756	0.0	0.0	17.1461547158268	252.369964723576	0.535817334869589	67.6915899718581	0.0	0.535817334869589	2.14326933947836	0.0	0.0	1.0		
