	Sulfur transfer pathway CsdAEL	Sulfate assimilation related cluster	Stress proteins YciF, YciE	Two partner secretion pathway (TPS)	Type 4 conjugative transfer system, IncI1 type	Type III secretion systems	Siderophore Pyoverdine	Trans-envelope signaling system VreARI in Pseudomonas	L-2-amino-4-methoxy-trans-3-butenoic acid synthesis	Extracellular matrix proteins (PEL) involved in glucose-rich biofilm formation in Pseudomonas	Extracellular matrix proteins (PSL) involved in mannose-rich biofilm formation in Pseudomonas	IbrA and IbrB: co-activators of prophage gene expression	Rhamnolipids in Pseudomonas	Respiratory Systems - Shewanella (updated)	Phenazine biosynthesis	Periplasmic nitrate reductase EC 1.7.99.4	Outer membrane porins in Pseudomonas and Acinetobacter	Mycobacterial gene cluster associated with resistance against FAS-II antibiotics	Mycobacterial FadE proteins Acyl-CoA dehydrogenase	Mycobacterial FadD proteins (fatty acid CoA- and AMP- ligases)	MexXY System of Pseudomonas aeruginosa	Heme and heme d1 biosynthesis from siroheme	Malonate decarboxylase	Salmochelin-mediated Iron Acquisition	Potential DNA repair cluster	Type III secretion system	Cholera toxin	Beta-lactamases Ambler class D	Pseudomonadaceae	Cytochrome c oxidase EC 1.9.3.1	ABC-type iron transport system	Aestuariirhabdaceae	Geothermobacteraceae	CMP-pseudaminic acid synthesis	Biogenesis of cbb3-type cytochrome c oxidases	Adenylylsulfate reductase	Coenzyme PQQ synthesis	Marinobacteraceae	Colwelliaceae	Acyclic terpene utilization	Pseudomonas Culture	N12M_Pseudomonas aeruginosa	N12M_mucoid	N12M_non_mucoid
1565754_20171128_S	321.440297439417	40.9478085910086	28.663466013706	337.819420875821	16.3791234364034	71.658665034265	30.7108564432564	122.843425773026	4.09478085910086	77.8008363229163	63.4691033160633	30.7108564432564	14.331733006853	460.662846648846	26.2748438458972	397.193743332783	235.449899398299	0.0	378.767229466829	10.2369521477521	17.4028186511786	0.0	209.51628729066	18.4265138659539	288.68205056661	67.5638841751641	26.6160755841556	8.18956171820171	13977.457858164044	370.577667748628	36.8530277319077	0.9499427659483516	0.9499427659483516	24.5686851546051	413.572866769186	12.2843425773026	27.6397707989308	86.44479170129999	8.549484893535164	40.9478085910086	1.0	1.0	1.0	
1565754_20180403_S	133.201279819645	272.74547772594	82.4579351264471	1167.09692794356	6.34291808664978	358.374871895712	186.058930541727	888.008532130969	38.0575085198987	513.776365018632	272.74547772594	38.0575085198987	152.230034079595	234.687969206042	189.230389585052	202.973378772793	1271.75507637328	50.7433446931982	196.630460686143	79.2864760831222	38.0575085198987	8.45722411553304	359.432024910154	44.4004266065484	814.007821120055	313.974445289164	69.7720989531475	114.172525559696	57987.557142776415	431.318429892185	69.7720989531475	0.0	5.650707186004329	12.6858361732996	431.318429892185	50.7433446931982	79.2864760831222	62.15777904604761	5.650707186004329	418.632593718885	1.0	1.0	1.0	
1586713_20180309_S	0.0	0.0	0.0	14.2993216287139	0.0	0.0	0.0	0.0	0.0	1.50519175039094	0.0	0.0	0.0	0.940744843994336	0.0	0.752595875195469	0.0	0.0	0.752595875195469	0.0	0.0	0.0	249.924546887829	0.0	25.0865291731823	0.0	0.0	0.752595875195469	5851.892153242306	0.376297937597734	0.0	0.0	0.0	0.0	0.376297937597734	0.0	0.0	0.5328783262931225	4.973531045402477	0.376297937597734	0.0	1.0		
1593967_20180424_S	170.496399305129	71.7879576021596	22.4337367506749	513.732571590455	13.4602420504049	126.750612641313	99.456232927992	345.479545960393	8.97349470026995	139.089167854184	62.8144629018897	15.7036157254724	47.1108471764173	264.718093657964	65.8056278019797	261.353033145362	435.214492963093	33.6506051260123	217.607246481546	19.0686762380736	23.5554235882086	6.73012102520246	315.567896959493	22.4337367506749	278.178335708369	117.777117941043	13.4602420504049	22.4337367506749	25366.071428571428	292.386368983796	33.6506051260123	0.0	0.0	6.73012102520246	292.386368983796	13.4602420504049	52.719281364086	94.24603174603176	6.944444444444445	118.898804778577	1.0	1.0	0.0	0.0
1593973_20180427_S	14.7656253887013	12.8396742510446	4.4938859878656	283.756800948085	1.28396742510446	26.3213322146414	6.63383169637303	67.408289817984	3.53091041903726	47.5067947288649	24.3953810769847	7.06182083807452	8.9877719757312	27.926291496022	17.868546666037	29.2102589211264	50.7167132916261	5.13586970041783	16.691576526358	6.41983712552229	4.81487784414172	1.06997285425371	321.09885356154	3.85190227531337	279.690904101921	23.1114136518802	0.0	1.28396742510446	5760.47965592057	28.8892670648503	4.4938859878656	0.0	0.5633996435933855	1.28396742510446	27.926291496022	5.13586970041783	8.66678011945509	10.14119358468094	2.535298396170235	30.815218202507	1.0	1.0	0.0	0.0
1593973_20180504_S	9.65982325968762	27.2085021814535	5.31290279282819	238.91962862294	2.89794697790629	37.6733107127817	14.2750721504273	93.0562974016574	3.70293224954692	47.6551280811256	40.571257690688	17.0656877587815	17.3876818674377	16.421699541469	20.3929602148961	17.709675976094	87.421400500173	9.01583504237511	15.1337231068439	3.86392930387505	12.2357761289377	0.858650956416678	373.03017487827	3.21994108656254	125.041045528179	32.5214049742817	0.0	4.82991162984381	8833.122663238833	42.9862135056099	11.5917879116251	0.2974515983041095	0.594903196608219	1.28797643462502	40.7322547450161	7.56686155342197	13.5237525635627	8.179918953363009	3.123241782193149	35.0973578435317	1.0	1.0	0.0	0.0
1588281_20180508_S	18.276647079468	22.4943348670376	2.8117918583797	320.544271855285	2.8117918583797	18.276647079468	7.96674359874247	42.1768778756954	2.8117918583797	7.02947964594924	26.7120226546071	2.8117918583797	11.2471674335188	28.8208665483919	7.96674359874247	28.8208665483919	59.0476290259736	4.21768778756954	234.784620174705	3.51473982297462	2.8117918583797	3.74905581117293	242.28273179705	4.21768778756954	398.80581191352	15.4648552210883	0.0	5.62358371675939	5402.276429354944	169.879091443773	14.0589592918985	0.0	1.2666533245849811	8.43537557513909	171.284987372963	16.8707511502782	12.6530633627086	8.866573272094866	3.799959973754943	25.3061267254173	1.0	1.0		
1651490_20171010_S	0.0	77.011673258295	0.0	718.77561707742	0.0	77.011673258295	0.0	0.0	0.0	0.0	51.34111550553	0.0	0.0	179.693904269355	0.0	179.693904269355	282.376135280415	0.0	51.34111550553	0.0	0.0	17.11370516851	149.744920224463	0.0	239.59187235914	77.011673258295	0.0	0.0	10096.014667567308	154.02334651659	51.34111550553	0.0	0.0	0.0	154.02334651659	25.670557752765	0.0	0.0	0.0	51.34111550553	0.0	1.0	0.0	1.0
1651490_20180206_S	134.022492590737	0.0	0.0	255.280938268071	0.0	25.5280938268071	0.0	19.1460703701053	0.0	12.7640469134035	31.9101172835089	0.0	0.0	102.112375307228	12.7640469134035	121.258445677334	12.7640469134035	0.0	0.0	0.0	0.0	0.0	65.9475757192516	0.0	95.7303518505266	25.5280938268071	0.0	0.0	6692.664418212478	13.8277174895205	12.7640469134035	0.0	0.0	0.0	13.8277174895205	0.0	0.0	28.10567734682406	0.0	0.0	0.0	1.0	0.0	1.0
1658447_20171006_S	17.1672842135779	9.36397320740615	0.780331100617179	171.672842135779	1.56066220123436	6.24264880493743	3.38143476934111	18.7279464148123	3.12132440246871	15.6066220123436	5.46231770432025	7.02297990555461	1.56066220123436	44.4788727351792	5.98253843806504	38.2362239302418	42.1378794333277	0.0	85.8364210678897	2.34099330185154	0.780331100617179	0.0	278.968368470641	0.0	211.469728267255	6.24264880493743	1.56066220123436	1.56066220123436	3530.3464886419283	8.58364210678897	0.0	0.0	0.0	0.0	8.58364210678897	0.0	3.90165550308589	8.566203187484206	2.855401062494736	16.3869531129608	1.0	1.0	1.0	0.0
1664053_20180406_S	19.0191983920714	35.660996985134	7.13219939702679	437.441563017643	0.0	43.9818962816652	28.5287975881072	135.511788543509	2.37739979900893	64.1897945732411	23.7739979900893	28.5287975881072	14.2643987940536	59.4349949752233	42.7931963821607	57.0575951762143	194.946783518732	4.75479959801786	147.398787538554	9.50959919603572	13.0756988945491	4.75479959801786	175.531351826826	4.75479959801786	367.704502246715	34.4722970856295	23.7739979900893	0.0	9610.519488877995	56.2651285765447	26.1513977890982	0.0	2.9704881997356263	0.0	46.755529380509	7.13219939702679	17.830498492567	4.950813666226044	1.9803254664904175	104.605591156393	1.0	1.0	1.0	
1690154_20180406_S	4.14080868233722	2.07040434116861	0.0	272.258170863672	0.0	7.24641519409013	0.0	9.31681953525874	0.0	10.352021705843	4.14080868233722	2.07040434116861	6.21121302350582	10.8696227911352	1.0352021705843	7.76401627938228	39.3376824822036	2.07040434116861	36.2320759704506	0.0	1.0352021705843	1.0352021705843	167.185150549365	0.0	191.857468948291	7.24641519409013	0.0	0.0	2652.3657144255653	8.45415105977182	1.0352021705843	0.0	1.7481401973475468	2.07040434116861	8.45415105977182	0.0	1.0352021705843	3.059245345358207	2.6222102960213203	42.4432889939565	1.0	1.0		
1085876_20180227_S	98.4169156182686	2.70046414806225	0.0	496.885403243454	0.600103144013833	0.600103144013833	0.0	0.0	0.300051572006917	0.600103144013833	0.0	0.0	0.0	95.7164514702064	1.8003094320415	81.9140791578882	2.40041257605533	0.0	196.233728092523	1.20020628802767	0.0	0.800137525351777	251.543234532465	7.201237728166	178.230633772108	0.600103144013833	0.0	0.0	2278.253059595199	271.346638284921	7.201237728166	0.0	0.0	1.20020628802767	317.25452880198	2.70046414806225	5.10087672411758	32.31966759505384	7.371152258521052	6.60113458415216	1.0	1.0	1.0	
1834617_20180501_S	5.26650824313245	0.0	0.0	90.4083915071071	0.0	0.0	0.0	1.75550274771082	0.0	0.0	0.0	1.75550274771082	0.0	19.310530224819	0.0	18.4327788509636	13.1662706078311	0.0	16.6772761032528	0.0	0.0	0.0	384.747685539954	0.0	189.301712961483	0.0	0.0	0.0	2443.751972732337	2.34067033028109	0.0	0.0	0.0	0.0	1.46291895642568	0.0	0.877751373855409	6.355110886093112	0.423674059072874	3.51100549542164	0.0	0.0	0.0	0.0
1845116_20180403_S	172.975048130018	3.93125109386405	0.0	341.457237867049	24.7107211614312	0.0	2.62083406257603	60.653588305331	0.0	0.0	0.0	2.24642919649374	0.0	423.171099889509	0.561607299123436	265.640252485385	2.24642919649374	0.0	263.393823288891	0.0	0.0	2.62083406257603	232.0374157545	1.12321459824687	222.022085586798	0.0	0.0	0.0	1346.3600078333675	44.7413814968337	4.49285839298748	0.0	1.5141818269916034	1.68482189737031	52.3230800350001	3.93125109386405	0.0	24.73163650752952	2.2712727404874054	9.5473240850984	0.0	0.0	0.0	0.0
